section,check_id,check_text,model_domain,severity_weight
1. Assumptions Audit,A1,Are all major assumptions explicit and centralized rather than buried in code or narrative?,SaaS,3
1. Assumptions Audit,A1,Are all major assumptions explicit and centralized rather than buried in code or narrative?,Streaming,3
1. Assumptions Audit,A2,Are causal relationships stated clearly for each major driver?,SaaS,3
1. Assumptions Audit,A2,Are causal relationships stated clearly for each major driver?,Streaming,3
1. Assumptions Audit,A3,Are historical dependencies or precedent links documented where used?,SaaS,2
1. Assumptions Audit,A3,Are historical dependencies or precedent links documented where used?,Streaming,2
1. Assumptions Audit,A4,Are policy / management intervention assumptions explicitly separated from organic behavior?,SaaS,2
1. Assumptions Audit,A4,Are policy / management intervention assumptions explicitly separated from organic behavior?,Streaming,2
1. Assumptions Audit,A5,Are contradictory assumptions absent across model layers and reports?,SaaS,3
1. Assumptions Audit,A5,Are contradictory assumptions absent across model layers and reports?,Streaming,3
1. Assumptions Audit,A6,Is false precision avoided in key assumptions and outputs?,SaaS,2
1. Assumptions Audit,A6,Is false precision avoided in key assumptions and outputs?,Streaming,2
1. Assumptions Audit,A7,"Is outcome bias avoided, i.e. assumptions are not tuned to a preferred narrative?",SaaS,3
1. Assumptions Audit,A7,"Is outcome bias avoided, i.e. assumptions are not tuned to a preferred narrative?",Streaming,3
2. Structural Risks,S1,Are circular dependencies eliminated?,SaaS,3
2. Structural Risks,S1,Are circular dependencies eliminated?,Streaming,3
2. Structural Risks,S2,Are outputs not being derived from themselves indirectly?,SaaS,3
2. Structural Risks,S2,Are outputs not being derived from themselves indirectly?,Streaming,3
2. Structural Risks,S3,Are important non-linear relationships represented where needed?,SaaS,2
2. Structural Risks,S3,Are important non-linear relationships represented where needed?,Streaming,2
2. Structural Risks,S4,Is double-counting removed from revenue and customer bridges?,SaaS,3
2. Structural Risks,S4,Is double-counting removed from revenue and customer bridges?,Streaming,3
2. Structural Risks,S5,Is top-down logic consistent with bottom-up logic?,SaaS,3
2. Structural Risks,S5,Is top-down logic consistent with bottom-up logic?,Streaming,3
2. Structural Risks,S6,Are cohort aggregations handled correctly?,SaaS,2
2. Structural Risks,S6,Are cohort aggregations handled correctly?,Streaming,2
