KPI,KPI Group,Previous Source,New Source,Primary URL,Secondary URL,Specific data points used,Improvement
MRR,Revenue,Streaming rate-card proxy only,Recurly + Netflix/Disney/WBD public disclosures,https://recurly.com/research/churn-rate-benchmarks/,https://ir.netflix.net/financials/annual-reports-and-proxies/default.aspx,15% monthly revenue exposed to declines; >69% recovered => net leakage approx 4.5%. Netflix global ARM 2024 $11.70; Disney+ overall ARPU Q4 2024 $7.20; WBD DTC global ARPU Q4 2024 $7.44 for reasonableness.,Converts list-price MRR into effective collected MRR and anchors ARPU to audited/operator-reported ranges.
ARR,Revenue,Derived from proxy MRR,Derived from rebuilt effective MRR,https://recurly.com/research/churn-rate-benchmarks/,https://ir.netflix.net/financials/annual-reports-and-proxies/default.aspx,ARR = Effective MRR x 12 after 4.5% billing leakage adjustment.,ARR now rolls up from a benchmark-calibrated MRR base.
ACV,Contracting,Proxy using all-annual logic / simplified contract assumptions,Derived from effective ARPU and contract mix with benchmarked annualization,https://www.key.com/businesses-institutions/industry-expertise/saas-resources.html,https://www.highalpha.com/saas-benchmarks/2024,ACV per acquired account = Effective ARPU x 12 x seat factor. Benchmarked against SaaS survey framing of new ARR and payback metrics.,More consistent with annualized contract value economics and benchmark terminology.
TCV,Contracting,ACV/TCV assumed all annual,Derived from ACV x weighted contract term,https://www.key.com/businesses-institutions/industry-expertise/saas-resources.html,https://www.highalpha.com/saas-benchmarks/2024,Weighted contract term parameter retained as editable assumption; TCV = ACV x avg term years.,Separates contract duration from annual value and preserves auditability.
Subscription bookings,Acquisition,Inferred from acquisition engine,Derived from net new subscriptions x ACV,https://www.highalpha.com/saas-benchmarks/2024,https://ir.netflix.net/financials/annual-reports-and-proxies/default.aspx,Net new subscriptions retained from prior model base; bookings tied directly to benchmark-calibrated ACV.,Bookable value now linked to calibrated contract economics.
Renewals,Retention,Hazard curve from Kaggle churn transfer,Calibrated renewal rate using industry churn benchmarks,https://churnkey.co/blog/churn-rates-for-streaming-services/,https://recurly.com/research/churn-rate-benchmarks/,Streaming churn reference 2%–7%; SaaS/B2B benchmark ~3.5%; base blended churn 4.5% => retention 95.5%.,Pulls renewals into industry-realistic ranges instead of raw Kaggle churn rates >44%.
Reactivations,Reactivation,Fabricated flat hypothetical rate,Antenna resubscription curve,https://www.antenna.live/insights/resubscription-is-on-the-rise,https://www.forbes.com/sites/bradadgate/2024/04/01/reducing-svod-churn-should-be-the-next-priority-with-media-companies/,"Cumulative resubscription curve: 10% next month, 23% within 3 months, 37% within 9 months, 41% within 12 months.",Replaces fabricated win-back assumptions with an observed time-decay curve.
CAC,Unit Economics,Scenario-only / fabricated,"Benchmark-bounded range from KeyBanc and OpenView, plus ratio validation against 3.6x CLV/CAC median",https://www.key.com/businesses-institutions/industry-expertise/saas-resources.html,https://www.benchmarkit.ai/2025benchmarks,Blended CAC ratio ~$1.20 per $1 new ARR; new customer CAC ratio ~$2.00; CLV/CAC median 3.6.,Moves CAC from arbitrary point estimate to benchmark-bounded and ratio-validated metric.
CLV,Unit Economics,Derived with heavy assumptions,Gross-margin-adjusted revenue lifetime validated against 3.6x benchmark,https://www.benchmarkit.ai/2025benchmarks,https://www.key.com/businesses-institutions/industry-expertise/saas-resources.html,Gross margin benchmark 79%; CLV/CAC validation target 3.6.,CLV formula remains transparent and is now tested against an external benchmark.
Net new subscriptions,Acquisition,Kaggle acquisition forecast,"Retained Kaggle/legacy model base, benchmark checked against benchmark ARPU and downstream economics",Retained from original model artifacts,https://www.highalpha.com/saas-benchmarks/2024,Base monthly net new subscriptions set to 40 from original forecast centerline; editable input.,Preserves the existing acquisition engine while improving downstream monetization realism.
Net churn,Retention,Raw churn transfer / scenario netting,Gross churn less Antenna-style reactivation credit and expansion offsets,https://www.antenna.live/insights/resubscription-is-on-the-rise,https://churnkey.co/blog/churn-rates-for-streaming-services/,Base gross churn 4.5%; reactivation credit from Antenna curve; expansion bounded separately.,"Net churn is now decomposed into gross churn, reactivation, and expansion rather than treated as a black box."
Expansion,Expansion,Fabricated upgrade / expansion rate,OpenView / High Alpha benchmark,https://www.highalpha.com/saas-benchmarks/2024,https://chartmogul.com/reports/saas-benchmarks-report/,Expansion ARR = 40% of total new ARR overall; >50% for >$50M ARR; ChartMogul expansion share rising toward low-30s of ARR gained.,Replaces fabricated expansion with benchmark-bounded expansion economics.
Retention,Retention,Kaggle churn labels with unrealistic 44%–52% churn,Industry benchmark calibration,https://churnkey.co/blog/churn-rates-for-streaming-services/,https://recurly.com/research/churn-rate-benchmarks/,Use calibrated monthly churn band 2%–7%; base blended churn 4.5% => retention 95.5%.,Fixes the largest domain-transfer issue in the original model.
Seats,Usage / Capacity,Household profiles/devices proxy,Retained proxy (editable) because no better free public row-level seat dataset was identified,Retained from original Kaggle-style feature design,https://www.highalpha.com/saas-benchmarks/2024,"Seat factor default = 1.00, fully editable to reflect customer mix.",Maintains transparency: seat economics remain proxy-based and user-editable rather than disguised as observed data.
