section,check_id,model_domain,status,evidence,risk_note,proposed_fix
1. Assumptions Audit,A1,SaaS,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
1. Assumptions Audit,A1,Streaming,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
1. Assumptions Audit,A2,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A3,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A3,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A4,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A4,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A5,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A5,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A6,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A6,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A7,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
1. Assumptions Audit,A7,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S1,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S1,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S2,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S2,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S3,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S3,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S4,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S4,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S5,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S5,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S6,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S6,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
2. Structural Risks,S7,SaaS,❌ Fail,v3 SaaS lacked explicit sales-cycle and onboarding lag.,Revenue timing overly optimistic.,v4 adds pipeline close lag and onboarding lag.
2. Structural Risks,S7,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
2. Structural Risks,S8,SaaS,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
2. Structural Risks,S8,Streaming,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
3. Sensitivity Risks,R1,SaaS,❌ Fail,v3 did not rank dominant drivers or attribute output swings.,Management may focus on the wrong levers.,v4 adds dominant-driver tables and scenario decomposition.
3. Sensitivity Risks,R1,Streaming,❌ Fail,v3 did not rank dominant drivers or attribute output swings.,Management may focus on the wrong levers.,v4 adds dominant-driver tables and scenario decomposition.
3. Sensitivity Risks,R2,SaaS,❌ Fail,v3 did not rank dominant drivers or attribute output swings.,Management may focus on the wrong levers.,v4 adds dominant-driver tables and scenario decomposition.
3. Sensitivity Risks,R2,Streaming,❌ Fail,v3 did not rank dominant drivers or attribute output swings.,Management may focus on the wrong levers.,v4 adds dominant-driver tables and scenario decomposition.
3. Sensitivity Risks,R3,SaaS,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
3. Sensitivity Risks,R3,Streaming,⚠️ Partial,v3 had scenarios but no richer uncertainty framing.,Point estimate overuse.,v4 adds expanded stress and uncertainty presentation.
3. Sensitivity Risks,R4,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
3. Sensitivity Risks,R4,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
3. Sensitivity Risks,R5,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
3. Sensitivity Risks,R5,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
3. Sensitivity Risks,R6,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
3. Sensitivity Risks,R6,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D1,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D1,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D2,SaaS,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D2,Streaming,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D3,SaaS,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D3,Streaming,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D4,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D4,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D5,SaaS,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D5,Streaming,❌ Fail,v3 lacked centralized parameter registry / override log / full source mapping.,Governance and auditability risk.,"v4 adds parameter registry, source IDs, manual override log, and driver type classification."
4. Data & Input Integrity,D6,SaaS,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
4. Data & Input Integrity,D6,Streaming,⚠️ Partial,v3 addressed the area but incompletely.,Residual realism risk.,v4 improves but does not fully eliminate benchmark-model limits.
5. Business Reality Alignment,B1,SaaS,❌ Fail,v3 SaaS lacked sales and implementation capacity / bottlenecks.,Growth could exceed operational reality.,v4 adds sales capacity and implementation throughput constraints.
5. Business Reality Alignment,B1,Streaming,✅ Pass,v3 baseline was materially adequate on this check.,,Maintain.
5. Business Reality Alignment,B2,SaaS,❌ Fail,v3 SaaS lacked explicit sales-cycle and onboarding lag.,Revenue timing overly optimistic.,v4 adds pipeline close lag and onboarding lag.
