section,check_id,check_text,model_domain,evidence_source,test_method,pass_rule,severity_weight
1. Assumptions Audit,A1,Are all major assumptions explicit and centralized rather than buried in code or narrative?,SaaS,parameter_registry + assumptions sheet,check parameter registry count and presence in workbook,Pass if all major rate/lag/capacity/pricing assumptions appear in registry,3
1. Assumptions Audit,A1,Are all major assumptions explicit and centralized rather than buried in code or narrative?,Streaming,parameter_registry + assumptions sheet,check parameter registry count and presence in workbook,Pass if all major rate/lag/capacity/pricing assumptions appear in registry,3
1. Assumptions Audit,A2,Are causal relationships stated clearly for each major driver?,SaaS,reports + calculations sheet,check bridge formulas documented,Pass if all core bridges documented in workbook/report,3
1. Assumptions Audit,A2,Are causal relationships stated clearly for each major driver?,Streaming,reports + calculations sheet,check bridge formulas documented,Pass if all core bridges documented in workbook/report,3
1. Assumptions Audit,A3,Are historical dependencies or precedent links documented where used?,SaaS,source_provenance,check provenance rows with source/derived status,Pass if sourced/derived labels and URLs present for major assumptions,2
1. Assumptions Audit,A3,Are historical dependencies or precedent links documented where used?,Streaming,source_provenance,check provenance rows with source/derived status,Pass if sourced/derived labels and URLs present for major assumptions,2
1. Assumptions Audit,A4,Are policy / management intervention assumptions explicitly separated from organic behavior?,SaaS,parameter_registry,check controllable vs external classification,Pass if drivers labeled controllable/external/derived,2
1. Assumptions Audit,A4,Are policy / management intervention assumptions explicitly separated from organic behavior?,Streaming,parameter_registry,check controllable vs external classification,Pass if drivers labeled controllable/external/derived,2
1. Assumptions Audit,A5,Are contradictory assumptions absent across model layers and reports?,SaaS,model outputs + reports,bridge and scenario consistency tests,Pass if no identity contradictions and report values match outputs,3
1. Assumptions Audit,A5,Are contradictory assumptions absent across model layers and reports?,Streaming,model outputs + reports,bridge and scenario consistency tests,Pass if no identity contradictions and report values match outputs,3
1. Assumptions Audit,A6,Is false precision avoided in key assumptions and outputs?,SaaS,reports/workbook,check output rounding in executive sections,Pass if executive outputs rounded to sensible precision,2
1. Assumptions Audit,A6,Is false precision avoided in key assumptions and outputs?,Streaming,reports/workbook,check output rounding in executive sections,Pass if executive outputs rounded to sensible precision,2
1. Assumptions Audit,A7,"Is outcome bias avoided, i.e. assumptions are not tuned to a preferred narrative?",SaaS,scenario outputs + unit economics,check downside results and unfavorable outcomes preserved,Pass if downside scenarios and weak economics are reported honestly,3
1. Assumptions Audit,A7,"Is outcome bias avoided, i.e. assumptions are not tuned to a preferred narrative?",Streaming,scenario outputs + unit economics,check downside results and unfavorable outcomes preserved,Pass if downside scenarios and weak economics are reported honestly,3
2. Structural Risks,S1,Are circular dependencies eliminated?,SaaS,code/model outputs,inspect bridge logic,Pass if no target-backed plugs or circular outputs,3
2. Structural Risks,S1,Are circular dependencies eliminated?,Streaming,code/model outputs,inspect bridge logic,Pass if no target-backed plugs or circular outputs,3
2. Structural Risks,S2,Are outputs not being derived from themselves indirectly?,SaaS,code,inspect formulas and pipeline lags,Pass if customer/revenue outputs arise from independent drivers,3
2. Structural Risks,S2,Are outputs not being derived from themselves indirectly?,Streaming,code,inspect formulas and pipeline lags,Pass if customer/revenue outputs arise from independent drivers,3
2. Structural Risks,S3,Are important non-linear relationships represented where needed?,SaaS,code/scenarios,check elasticity/capacity/lumpiness/regime logic,Pass if at least key nonlinearities are modeled,2
2. Structural Risks,S3,Are important non-linear relationships represented where needed?,Streaming,code/scenarios,check elasticity/capacity/lumpiness/regime logic,Pass if at least key nonlinearities are modeled,2
2. Structural Risks,S4,Is double-counting removed from revenue and customer bridges?,SaaS,model outputs,bridge equality tests,Pass if all monthly bridge checks equal zero,3
2. Structural Risks,S4,Is double-counting removed from revenue and customer bridges?,Streaming,model outputs,bridge equality tests,Pass if all monthly bridge checks equal zero,3
2. Structural Risks,S5,Is top-down logic consistent with bottom-up logic?,SaaS,sanity sheets,compare benchmark guardrails to outputs,Pass if outputs remain within documented benchmark guardrails,3
2. Structural Risks,S5,Is top-down logic consistent with bottom-up logic?,Streaming,sanity sheets,compare benchmark guardrails to outputs,Pass if outputs remain within documented benchmark guardrails,3
2. Structural Risks,S6,Are cohort aggregations handled correctly?,SaaS,model outputs,cohort bridge / concentration segments present,Pass if cohort logic plus concentration/segment handling exists,2
2. Structural Risks,S6,Are cohort aggregations handled correctly?,Streaming,model outputs,cohort bridge / concentration segments present,Pass if cohort logic plus concentration/segment handling exists,2
2. Structural Risks,S7,Are timing and lags modeled explicitly where material?,SaaS,code/outputs,check lags for SaaS pipeline/onboarding and streaming interventions,Pass if explicit lags change timing of revenue,3
2. Structural Risks,S7,Are timing and lags modeled explicitly where material?,Streaming,code/outputs,check lags for SaaS pipeline/onboarding and streaming interventions,Pass if explicit lags change timing of revenue,3
2. Structural Risks,S8,Are hardcoded values minimized and parameterized?,SaaS,parameter registry vs code,check major rates have registry entries,Pass if major levers in registry,2
2. Structural Risks,S8,Are hardcoded values minimized and parameterized?,Streaming,parameter registry vs code,check major rates have registry entries,Pass if major levers in registry,2
3. Sensitivity Risks,R1,Are dominant drivers identified explicitly?,SaaS,sensitivity outputs,check tornado/driver ranking exists,Pass if top 3-5 drivers ranked,2
3. Sensitivity Risks,R1,Are dominant drivers identified explicitly?,Streaming,sensitivity outputs,check tornado/driver ranking exists,Pass if top 3-5 drivers ranked,2
3. Sensitivity Risks,R2,Are disproportionate output swings tested and disclosed?,SaaS,scenario outputs,check stress and decomposition tables,Pass if large swing attribution shown,3
3. Sensitivity Risks,R2,Are disproportionate output swings tested and disclosed?,Streaming,scenario outputs,check stress and decomposition tables,Pass if large swing attribution shown,3
3. Sensitivity Risks,R3,Is uncertainty quantified for key drivers?,SaaS,uncertainty tables,check ranges/fans/MC outputs,Pass if uncertainty tables for major outputs exist,3
3. Sensitivity Risks,R3,Is uncertainty quantified for key drivers?,Streaming,uncertainty tables,check ranges/fans/MC outputs,Pass if uncertainty tables for major outputs exist,3
3. Sensitivity Risks,R4,Are correlated driver risks modeled or discussed?,SaaS,scenario matrix,check joint-shock scenarios or correlation matrix,Pass if correlated risks documented,2
3. Sensitivity Risks,R4,Are correlated driver risks modeled or discussed?,Streaming,scenario matrix,check joint-shock scenarios or correlation matrix,Pass if correlated risks documented,2
3. Sensitivity Risks,R5,Are assumption ranges wide enough to be decision-useful?,SaaS,stress scenarios,check extreme downside scenarios,Pass if tail scenarios materially widen range,2
3. Sensitivity Risks,R5,Are assumption ranges wide enough to be decision-useful?,Streaming,stress scenarios,check extreme downside scenarios,Pass if tail scenarios materially widen range,2
3. Sensitivity Risks,R6,Are non-linear sensitivity effects handled?,SaaS,driver tests,check elasticity/capacity breakpoint tests,Pass if breakpoint or cliff effects included,2
3. Sensitivity Risks,R6,Are non-linear sensitivity effects handled?,Streaming,driver tests,check elasticity/capacity breakpoint tests,Pass if breakpoint or cliff effects included,2
4. Data & Input Integrity,D1,Are source data and benchmark inputs validated and cited?,SaaS,source registry,check URLs/type/date/notes,Pass if registry is complete for major assumptions,3
4. Data & Input Integrity,D1,Are source data and benchmark inputs validated and cited?,Streaming,source registry,check URLs/type/date/notes,Pass if registry is complete for major assumptions,3
4. Data & Input Integrity,D2,Are manual overrides documented?,SaaS,manual override log,check log exists even if empty,Pass if manual override log sheet exists,2
4. Data & Input Integrity,D2,Are manual overrides documented?,Streaming,manual override log,check log exists even if empty,Pass if manual override log sheet exists,2
4. Data & Input Integrity,D3,Is there an audit trail from source to output?,SaaS,parameter registry + source ids,check source IDs mapped to parameters,Pass if source-to-parameter linkage exists,3
4. Data & Input Integrity,D3,Is there an audit trail from source to output?,Streaming,parameter registry + source ids,check source IDs mapped to parameters,Pass if source-to-parameter linkage exists,3
4. Data & Input Integrity,D4,Are anomalies / one-offs prevented from dominating logic?,SaaS,registry/notes,check anomaly flags and exclusions,Pass if anomalies explicitly flagged or none declared,2
4. Data & Input Integrity,D4,Are anomalies / one-offs prevented from dominating logic?,Streaming,registry/notes,check anomaly flags and exclusions,Pass if anomalies explicitly flagged or none declared,2
4. Data & Input Integrity,D5,Are organic behavior and interventions separated?,SaaS,registry,check driver types,Pass if separation explicit,2
4. Data & Input Integrity,D5,Are organic behavior and interventions separated?,Streaming,registry,check driver types,Pass if separation explicit,2
4. Data & Input Integrity,D6,Are lagging indicators not misused as leading inputs?,SaaS,registry/reports,check benchmark use classification,Pass if benchmarks labeled as anchor vs direct leading input,3
4. Data & Input Integrity,D6,Are lagging indicators not misused as leading inputs?,Streaming,registry/reports,check benchmark use classification,Pass if benchmarks labeled as anchor vs direct leading input,3
5. Business Reality Alignment,B1,Are capacity constraints modeled?,SaaS,model code/outputs,check sales/implementation/support or market capacity constraints,Pass if capacity constraints bind in at least some scenarios,3
5. Business Reality Alignment,B1,Are capacity constraints modeled?,Streaming,model code/outputs,check sales/implementation/support or market capacity constraints,Pass if capacity constraints bind in at least some scenarios,3
5. Business Reality Alignment,B2,Are sales cycles / onboarding delays represented where relevant?,SaaS,model code/outputs,check lag pipeline and onboarding ramps,Pass if new business revenue is delayed where relevant,3
5. Business Reality Alignment,B2,Are sales cycles / onboarding delays represented where relevant?,Streaming,model code/outputs,check lag pipeline and onboarding ramps,Pass if new business revenue is delayed where relevant,3
