section,check_id,model_domain,status,evidence,risk_note,proposed_fix
1. Assumptions Audit,A1,SaaS,⚠️ Partial,"Assumptions sheet exists in workbook, but several scenario modifiers and curve scalars remain code-level rather than fully centralized.",Hidden assumptions reduce auditability.,Centralize all assumptions and scenario modifiers in workbook/data tables and generated assumption logs.
1. Assumptions Audit,A2,SaaS,✅ Pass,v3 code and reports describe explicit bridges and causal flow.,,Maintain causal diagrams and bridge tables.
1. Assumptions Audit,A3,SaaS,⚠️ Partial,"Source provenance exists, but some derived assumptions (e.g. SaaS reactivation downscale) lack deeper historical basis.",Historical dependency weakness can distort realism.,Add explicit assumption provenance table with derived-vs-sourced labels and rationale.
1. Assumptions Audit,A4,SaaS,⚠️ Partial,Pricing and CAC policies are mixed with market effects in scenario params.,Management action not isolated.,Split controllable vs uncontrollable drivers.
1. Assumptions Audit,A5,SaaS,✅ Pass,No obvious identity contradictions in v3 core outputs.,,
1. Assumptions Audit,A6,SaaS,⚠️ Partial,Some reports still use many decimals in outputs/means and scenario tables.,False precision in executive interpretation.,Round outputs and label estimates as benchmark-calibrated ranges.
1. Assumptions Audit,A7,SaaS,✅ Pass,Actual CLV/CAC reported as 1.40x rather than tuned upward.,,
2. Structural Risks,S1,SaaS,✅ Pass,No circular formulas detected in v3 bridges.,,
2. Structural Risks,S2,SaaS,✅ Pass,Outputs are no longer target-plugged.,,
2. Structural Risks,S3,SaaS,⚠️ Partial,"Some nonlinearity exists via cohort aging and scenario shifts, but not enough around capacity, price elasticity, or step-change effects.",Model may understate threshold behavior.,"Add explicit non-linear functions for capacity, pricing elasticity, and sales productivity saturation."
2. Structural Risks,S4,SaaS,✅ Pass,Streaming bridge check passes; SaaS ARR bridge explicit.,,
2. Structural Risks,S5,SaaS,⚠️ Partial,"Bottom-up cohort logic exists, but top-down benchmark totals are not routinely reconciled to external scaling bands.",Local coherence without macro plausibility checks.,Add top-down sanity checks and scaling guardrails.
2. Structural Risks,S6,SaaS,⚠️ Partial,"Cohort aging exists, but top customer concentration / segment cohorts are not modeled.",Aggregation hides concentration risk.,Add segment/concentration cohorts.
2. Structural Risks,S7,SaaS,❌ Fail,No explicit sales cycle or onboarding lag in v3 SaaS acquisition-to-revenue conversion.,Revenue recognized too quickly versus real GTM behavior.,Add pipeline-to-bookings lag and onboarding ramp.
2. Structural Risks,S8,SaaS,⚠️ Partial,"Some hardcoded base rates remain in code (e.g., 0.036 streaming base churn, 0.0115 SaaS base churn).",Hardcoded logic limits reuse and governance.,Move to parameter tables.
3. Sensitivity Risks,R1,SaaS,❌ Fail,Dominant drivers are not explicitly ranked or quantified in v3 outputs.,Decision-makers may focus on the wrong levers.,Add driver importance / tornado analysis.
3. Sensitivity Risks,R2,SaaS,⚠️ Partial,"Scenarios exist, but output swing attribution is not decomposed.",Large swings not explained.,Add contribution-to-change decomposition.
3. Sensitivity Risks,R3,SaaS,✅ Pass,Monte Carlo uncertainty exists for CLV/CAC.,,
3. Sensitivity Risks,R4,SaaS,⚠️ Partial,"Scenarios bundle correlated risks qualitatively, but no explicit correlation matrix or joint shock documentation.",Underestimates compound downside.,Add correlated scenario matrix.
3. Sensitivity Risks,R5,SaaS,⚠️ Partial,Ranges are useful but still somewhat narrow for severe shocks.,Downside not wide enough.,Add extreme stress scenarios.
3. Sensitivity Risks,R6,SaaS,⚠️ Partial,"Some nonlinearities included, but not sensitivity cliffs.",Missed tipping points.,Add elasticity and breakpoint testing.
4. Data & Input Integrity,D1,SaaS,⚠️ Partial,"Sources are cited, but some URLs are high-level pages and some derived assumptions are not separately versioned.",Input validation trail incomplete.,Add source snapshot table and citation type field.
4. Data & Input Integrity,D2,SaaS,❌ Fail,No dedicated manual override log in v3.,Undocumented overrides or edits may go unnoticed.,Add manual overrides sheet/log.
4. Data & Input Integrity,D3,SaaS,⚠️ Partial,"There is some audit trail via CSVs and reports, but not a line-by-line source-to-parameter map for every assumption.",Harder to audit assumptions.,Add parameter registry and provenance IDs.
